Dato,Plattform,Døgn live,Visninger,Klikk,Unike,Gjengangere 2-5,Sett 6+,Favoritter,Salgsoppgave bestilt,Visningsinteresse,Varsler sendt,Kommentar
2026-06-20,Finn,1,,1896,1742,132,0,64,,0,3849,Publisert 19.06 kl 17:00
2026-06-20,hjem.no,2,5124,1661,358,,,1,7,0,,Publisert ca 18.06 (1 døgn før Finn)
